data,session,multiplier,session_ls,win_amount,number,death,Amount,a,w
2024-03-02 12:34:53.196713,6138576,1.09,1709372060248,63651.57,4348,4230,1098796.52,6997,3000
2024-03-02 12:35:00.306207,6138576,1.09,1709372060248,35204.08,3937,3734,868866.49,6997,3000
2024-03-02 12:35:07.439806,6138578,1.11,1709372078254,35204.08,3937,3734,868866.49,6997,3000
2024-03-02 12:35:07.441802,6138578,1.11,1709372078254,35204.08,3937,3734,868866.49,6997,3000
2024-03-02 12:35:11.003460,6138578,1.11,1709372078254,35204.08,3937,3734,868866.49,6997,3000
2024-03-02 12:35:14.564779,6138578,1.11,1709372078254,35204.08,3937,3734,868866.49,6997,3000
2024-03-02 12:35:18.141332,6138578,1.11,1709372078254,35204.08,3937,3734,886083.11,6997,3000
2024-03-02 12:35:21.702060,6138578,2.1,1709372100541,35204.08,3937,3734,886083.11,6997,3000
2024-03-02 12:35:25.270374,6138580,2.1,1709372100541,477987.26,3678,2569,886083.11,6997,3000
2024-03-02 12:35:32.395114,6138580,2.1,1709372100541,477987.26,3678,2569,886083.11,6997,3000
2024-03-02 12:35:35.973764,6138580,2.1,1709372100541,477987.26,3678,2569,1048163.68,6997,3000
2024-03-02 12:35:39.539026,6138580,2.1,1709372100541,477987.26,3678,2569,1048163.68,6997,3000
2024-03-02 12:35:43.102343,6138582,10.22,1709372135337,2796727.86,4560,318,1048163.68,6997,3000
2024-03-02 12:36:04.476532,6138582,10.22,1709372135337,2796727.86,4560,318,448275.19,6997,3000
2024-03-02 12:36:15.185204,6138582,10.22,1709372135337,2796727.86,4560,318,1019138.89,6997,3000
2024-03-02 12:36:18.755146,6138582,10.22,1709372135337,2796727.86,4560,318,1019138.89,6997,3000
2024-03-02 12:36:22.315910,6138587,1.33,1709372154536,236864.29,5115,4459,1019138.89,6997,3000
2024-03-02 12:36:22.317896,6138587,1.33,1709372154536,236864.29,5115,4459,1019138.89,6997,3000
2024-03-02 12:36:25.896978,6138587,1.33,1709372154536,236864.29,5115,4459,1019138.89,6997,3000
2024-03-02 12:36:29.462669,6138587,1.33,1709372154536,236864.29,5115,4459,1019138.89,6997,3000
2024-03-02 12:36:33.015580,6138590,1.06,1709372172074,42363.18,4217,4106,919513.4,6997,3000
2024-03-02 12:36:47.937982,6138590,1.06,1709372172074,42363.18,4217,4106,880560.16,6997,3000
2024-03-02 12:36:55.091287,6138590,1.06,1709372172074,42363.18,4217,4106,880560.16,6997,3000
2024-03-02 12:36:58.655666,6138592,1.64,1709372193043,239402.83,3711,2888,880560.16,6997,3000
2024-03-02 12:36:58.657728,6138592,1.64,1709372193043,239402.83,3711,2888,880560.16,6997,3000
2024-03-02 12:37:02.248912,6138592,1.64,1709372193043,239402.83,3711,2888,880560.16,6997,3000
2024-03-02 12:37:05.822254,6138592,1.64,1709372193043,239402.83,3711,2888,880560.16,6997,3000
2024-03-02 12:37:09.404521,6138592,1.64,1709372193043,239402.83,3711,2888,880560.16,6997,3000
2024-03-02 12:37:12.973564,6138592,1.64,1709372193043,239402.83,3711,2888,983311.99,6997,3000
2024-03-02 12:37:16.546288,6138596,1,1709372208827,-1,-1,-1,983311.99,6997,3000
2024-03-02 12:37:16.548275,6138596,1,1709372208827,-1,-1,-1,983311.99,6997,3000
2024-03-02 12:37:23.695254,6138596,1,1709372208827,-1,-1,-1,983311.99,6997,3000
2024-03-02 12:37:27.261083,6138596,1,1709372208827,51290.66,4150,3870,983311.99,6997,3000
2024-03-02 12:37:30.841050,6138598,-1,-1,263046.23,4150,3142,801231.21,6997,3000
2024-03-02 12:37:34.418084,6138598,9.47,1709372243006,1943103.99,4150,635,801231.21,6997,3000
2024-03-02 12:37:48.691054,6138598,9.47,1709372243006,1943103.99,4150,635,-1,6997,3000
2024-03-02 12:37:52.274005,6138598,9.47,1709372243006,1943103.99,4150,635,398753.16,6997,3000
2024-03-02 12:37:55.845889,6138598,9.47,1709372243006,1943103.99,4150,635,788313.19,6997,3000
2024-03-02 12:37:59.436381,6138598,9.47,1709372243006,1943103.99,4150,635,827552.26,6997,3000
2024-03-02 12:38:02.992242,6138603,1.04,1709372259636,14430.87,4801,4742,827552.26,6997,3000
2024-03-02 12:38:10.131578,6138603,1.04,1709372259636,14430.87,4801,4742,827552.26,6997,3000
2024-03-02 12:38:10.134435,6138603,1.04,1709372259636,14430.87,4801,4742,827552.26,6997,3000
2024-03-02 12:38:13.700971,6138603,1.04,1709372259636,14430.87,4801,4742,827552.26,6997,3000
2024-03-02 12:38:17.270333,6138603,1.04,1709372259636,14430.87,4801,4742,827552.26,6997,3000
2024-03-02 12:38:20.855080,6138603,1.04,1709372259636,14430.87,4801,4742,626216.85,6997,3000
2024-03-02 12:38:24.457405,6138605,1.12,1709372277776,30126.95,3460,3279,626216.85,6997,3000
2024-03-02 12:38:24.459389,6138608,-1,-1,-1,-1,-1,20438.21,6997,3000
2024-03-02 12:38:28.021885,6138605,1.12,1709372277776,30126.95,3460,3279,626216.85,6997,3000
2024-03-02 12:38:28.023868,6138605,1.12,1709372277776,30126.95,3460,3279,626216.85,6997,3000
2024-03-02 12:38:31.613402,6138605,1.12,1709372277776,30126.95,3460,3279,687232.31,6997,3000
2024-03-02 12:38:38.748691,6138605,1.12,1709372277776,30126.95,3460,3279,692737.01,6997,3000
2024-03-02 12:38:42.329791,6138608,1.71,1709372298912,193124.27,3467,2660,692737.01,6997,3000
2024-03-02 12:38:49.485505,6138608,1.71,1709372298912,193124.27,3467,2660,692737.01,6997,3000
2024-03-02 12:38:53.053440,6138608,1.71,1709372298912,193124.27,3467,2660,926169.77,6997,3000
2024-03-02 12:39:00.210887,6138611,-1,-1,424881.8,4166,2873,926169.77,6997,3000
2024-03-02 12:39:03.789619,6138611,9.63,1709372333034,2752862.6,4166,277,926169.77,6997,3000
2024-03-02 12:39:18.073291,6138611,9.63,1709372333034,2752862.6,4166,277,-1,-1,-1
2024-03-02 12:39:21.648879,6138611,9.63,1709372333034,2752862.6,4166,277,254137.73,6997,3000
2024-03-02 12:39:25.210007,6138611,9.63,1709372333034,2752862.6,4166,277,712747.63,6997,3000
2024-03-02 12:39:32.366659,6138611,9.63,1709372333034,2752862.6,4166,277,773461.59,6997,3000
2024-03-02 12:39:35.947021,6138616,1.2,1709372351235,69031.2,4404,4081,773461.59,6997,3000
